Date,HomeTeam,AwayTeam,HomeRedTime,AwayRedTime,Result,HomeGoals,Home1,Home2,Home3,Home4,Home5,AwayGoals,Away1,Away2,Away3,Away4,Away5
1/9/2018,Celta,Ath Madrid,0,70,H,2,46,52,0,0,0,0,0,0,0,0,0
2/9/2018,Betis,Sevilla,0,66,H,1,80,0,0,0,0,0,0,0,0,0,0
2/9/2018,Levante,Valencia,76,0,D,2,13,33,0,0,0,2,16,52,0,0,0
17/09/2018,Girona,Celta,0,92,H,3,22,37,56,0,0,2,34,87,0,0,0
22/09/2018,Getafe,Ath Madrid,67,0,A,0,0,0,0,0,0,2,14,60,0,0,0
22/09/2018,Vallecano,Alaves,35,0,A,1,30,0,0,0,0,5,8,34,56,77,95
23/09/2018,Barcelona,Girona,35,0,D,2,19,63,0,0,0,2,45,51,0,0,0
23/09/2018,Betis,Ath Bilbao,0,45,D,2,51,68,0,0,0,2,7,18,0,0,0
23/09/2018,Villarreal,Valencia,0,58,D,0,0,0,0,0,0,0,0,0,0,0,0
27/09/2018,Valladolid,Levante,0,54,H,2,50,56,0,0,0,1,47,0,0,0,0
6/10/2018,Getafe,Levante,91,0,A,0,0,0,0,0,0,1,60,0,0,0,0
6/10/2018,Leganes,Vallecano,0,82,H,1,14,0,0,0,0,0,0,0,0,0,0
7/10/2018,Sevilla,Celta,0,58,H,2,39,61,0,0,0,1,85,0,0,0,0
21/10/2018,Vallecano,Getafe,93,0,A,1,74,0,0,0,0,2,63,67,0,0,0
27/10/2018,Girona,Vallecano,88,0,H,2,34,45,0,0,0,1,61,0,0,0,0
4/11/2018,Eibar,Alaves,62,24,H,2,69,91,0,0,0,1,4,0,0,0,0
10/11/2018,Ath Madrid,Ath Bilbao,0,95,H,3,61,80,91,0,0,2,36,64,0,0,0
10/11/2018,Getafe,Valencia,79,0,A,0,0,0,0,0,0,1,81,0,0,0,0
10/11/2018,Valladolid,Eibar,0,72,D,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2018,Barcelona,Betis,81,0,A,3,68,79,92,0,0,4,20,34,71,83,0
11/11/2018,Celta,Real Madrid,87,0,A,2,61,94,0,0,0,4,23,56,83,91,0
11/11/2018,Vallecano,Villarreal,0,92,D,2,45,66,0,0,0,2,33,80,0,0,0
24/11/2018,Huesca,Levante,96,0,D,2,23,51,0,0,0,2,45,74,0,0,0
24/11/2018,Valencia,Vallecano,0,87,H,3,35,61,76,0,0,0,0,0,0,0,0
3/12/2018,Levante,Ath Bilbao,0,75,H,3,45,59,69,0,0,0,0,0,0,0,0
7/12/2018,Leganes,Getafe,93,0,D,1,64,0,0,0,0,1,39,0,0,0,0
16/12/2018,Huesca,Villarreal,0,65,D,2,44,94,0,0,0,2,63,81,0,0,0
16/12/2018,Levante,Barcelona,76,0,A,0,0,0,0,0,0,5,35,43,47,60,88
23/12/2018,Leganes,Sevilla,0,45,D,1,5,0,0,0,0,1,91,0,0,0,0
4/1/2019,Espanyol,Leganes,0,91,H,1,9,0,0,0,0,0,0,0,0,0,0
4/1/2019,Levante,Girona,69,0,D,2,58,86,0,0,0,2,31,72,0,0,0
6/1/2019,Real Madrid,Sociedad,61,0,A,0,0,0,0,0,0,2,3,83,0,0,0
14/01/2019,Sociedad,Espanyol,75,0,H,3,3,8,63,0,0,2,32,45,0,0,0
27/01/2019,Ath Bilbao,Betis,84,0,H,1,21,0,0,0,0,0,0,0,0,0,0
27/01/2019,Espanyol,Real Madrid,0,72,A,2,25,81,0,0,0,4,4,15,45,67,0
27/01/2019,Girona,Barcelona,51,0,A,0,0,0,0,0,0,2,9,68,0,0,0
27/01/2019,Valladolid,Celta,0,87,H,2,55,69,0,0,0,1,16,0,0,0,0
4/2/2019,Vallecano,Leganes,0,58,A,1,83,0,0,0,0,2,36,85,0,0,0
9/2/2019,Ath Madrid,Real Madrid,80,0,A,1,25,0,0,0,0,3,16,42,74,0,0
9/2/2019,Getafe,Celta,0,37,H,3,39,62,81,0,0,1,2,0,0,0,0
9/2/2019,Girona,Huesca,68,0,A,0,0,0,0,0,0,2,35,40,0,0,0
10/2/2019,Ath Bilbao,Barcelona,91,0,D,0,0,0,0,0,0,0,0,0,0,0,0
10/2/2019,Leganes,Betis,0,80,H,3,22,36,66,0,0,0,0,0,0,0,0
10/2/2019,Sevilla,Eibar,84,0,D,2,88,92,0,0,0,2,22,63,0,0,0
16/02/2019,Celta,Levante,49,0,A,1,88,0,0,0,0,4,20,40,62,89,0
17/02/2019,Real Madrid,Girona,90,0,A,1,25,0,0,0,0,2,65,75,0,0,0
17/02/2019,Valencia,Espanyol,0,95,D,0,0,0,0,0,0,0,0,0,0,0,0
24/02/2019,Levante,Real Madrid,88,86,A,1,60,0,0,0,0,2,43,78,0,0,0
1/3/2019,Vallecano,Girona,60,0,A,0,0,0,0,0,0,2,30,85,0,0,0
3/3/2019,Sociedad,Ath Madrid,0,62,A,0,0,0,0,0,0,2,30,33,0,0,0
10/3/2019,Girona,Valencia,0,72,A,2,22,83,0,0,0,3,14,53,90,0,0
10/3/2019,Valladolid,Real Madrid,0,80,A,1,29,0,0,0,0,4,34,51,59,85,0
17/03/2019,Espanyol,Sevilla,94,95,A,0,0,0,0,0,0,1,53,0,0,0,0
31/03/2019,Vallecano,Betis,95,0,D,1,34,0,0,0,0,1,81,0,0,0,0
2/4/2019,Villarreal,Barcelona,86,0,D,4,23,50,62,80,0,4,12,16,90,93,0
3/4/2019,Ath Bilbao,Levante,0,96,H,3,5,27,93,0,0,2,51,89,0,0,0
6/4/2019,Barcelona,Ath Madrid,0,28,H,2,85,86,0,0,0,0,0,0,0,0,0
7/4/2019,Celta,Sociedad,0,58,H,3,51,70,91,0,0,1,32,0,0,0,0
14/04/2019,Ath Bilbao,Vallecano,0,52,H,3,2,50,72,0,0,2,45,85,0,0,0
14/04/2019,Valladolid,Getafe,0,62,D,2,30,69,0,0,0,2,14,96,0,0,0
21/04/2019,Betis,Valencia,0,82,A,1,78,0,0,0,0,2,45,49,0,0,0
21/04/2019,Getafe,Sevilla,74,45,H,3,35,45,53,0,0,0,0,0,0,0,0
21/04/2019,Levante,Espanyol,74,0,D,2,62,72,0,0,0,2,16,65,0,0,0
28/04/2019,Girona,Sevilla,0,95,H,1,62,0,0,0,0,0,0,0,0,0,0
28/04/2019,Villarreal,Huesca,0,92,D,1,30,0,0,0,0,1,78,0,0,0,0
4/5/2019,Levante,Vallecano,0,82,H,4,14,43,85,90,0,1,71,0,0,0,0
5/5/2019,Getafe,Girona,0,69,H,2,16,77,0,0,0,0,0,0,0,0,0
12/5/2019,Betis,Huesca,0,76,H,2,22,98,0,0,0,1,55,0,0,0,0
12/5/2019,Leganes,Espanyol,45,0,A,0,0,0,0,0,0,2,35,71,0,0,0
12/5/2019,Sociedad,Real Madrid,0,39,H,3,26,57,67,0,0,1,6,0,0,0,0
18/05/2019,Levante,Ath Madrid,0,51,D,2,6,36,0,0,0,2,68,79,0,0,0
